request_id,submitted_by,agent_id,request_type,submitted_date,resolved_date,status,priority,region,resolution_notes
REQ000034,Nicole Valenzuela,AGT06073,KPI Clarification,2024-06-28,2024-07-16,Resolved,Low,Alberta,Ad illo ducimus natus modi.
REQ000035,Brian Fields DVM,AGT01641,Ad-hoc Analysis,2021-12-27,,Escalated,Low,Ontario,
REQ000036,Kyle Gonzales,AGT06922,Report Request,2025-11-05,,In Progress,Medium,Quebec,
REQ000037,Debra Zuniga,AGT05236,Data Discrepancy,2022-02-12,,In Progress,Critical,Saskatchewan,
REQ000038,Veronica Hall,AGT07657,Report Request,2025-08-03,,Escalated,High,Quebec,
REQ000039,Jennifer White,AGT05073,Dashboard Update,2021-01-13,2021-01-18,Resolved,Critical,Alberta,Atque nesciunt quidem expedita eius amet dicta.
REQ000040,Kenneth Garcia,AGT01816,Dashboard Update,2023-05-13,,Open,Critical,Manitoba,
REQ000041,Laura Gordon,AGT04015,Data Discrepancy,2021-02-03,,Open,Low,Manitoba,
REQ000042,Barbara Pacheco,AGT03150,Access Issue,2021-03-15,2021-04-01,Resolved,High,Ontario,Quos eius rerum quasi pariatur numquam repellat.
REQ000043,Michelle Russell,AGT09355,Report Request,2024-08-13,,In Progress,Medium,Alberta,
REQ000044,John Jones,AGT01611,Ad-hoc Analysis,2021-09-23,,Escalated,Low,Manitoba,
REQ000045,Dustin Carson,AGT07127,Data Discrepancy,2024-12-29,,In Progress,Low,Ontario,
REQ000046,Anna Smith MD,AGT05311,Dashboard Update,2023-10-28,2023-11-04,Resolved,High,Saskatchewan,Molestias aperiam nulla ipsam ipsa facere ullam.
REQ000047,Catherine Parker,AGT03558,Ad-hoc Analysis,2024-12-08,,Open,High,British Columbia,
REQ000048,Julian Giles,AGT02339,KPI Clarification,2021-11-02,2021-11-25,Resolved,Medium,Alberta,Nulla esse rem repellendus ad temporibus voluptatem.
REQ000049,Justin Harper,AGT07306,Report Request,2021-04-28,,In Progress,Critical,Alberta,
REQ000050,Jennifer Hammond PhD,AGT00657,Access Issue,2022-08-18,2022-08-21,Resolved,Low,Saskatchewan,Eius rem architecto architecto in occaecati eius iusto omnis exercitationem.
REQ000051,Tony Alvarado,AGT08498,Data Discrepancy,2021-03-19,,Open,Medium,Quebec,
REQ000052,Ann Foley,AGT06116,Ad-hoc Analysis,2024-01-22,,Open,High,Ontario,
REQ000053,Randy Porter,AGT09989,Access Issue,2022-06-03,,Open,Medium,British Columbia,
REQ000054,Stephen Moreno,AGT01300,Dashboard Update,2025-08-09,2025-09-03,Resolved,Medium,Ontario,Illum nemo cumque tenetur aspernatur accusantium accusantium esse blanditiis corporis.
REQ000055,Jim Rodriguez,AGT00476,Access Issue,2023-03-29,,In Progress,Critical,Alberta,
REQ000056,Roger Allen,AGT01470,KPI Clarification,2025-03-27,2025-04-11,Resolved,Medium,Manitoba,Amet eaque vitae repellendus eos deleniti.
REQ000057,Gina Bullock,AGT02065,Ad-hoc Analysis,2025-08-23,,Open,Medium,Saskatchewan,
REQ000058,Jordan Powell,AGT01341,Dashboard Update,2025-07-19,2025-08-16,Resolved,Medium,British Columbia,Voluptatibus cupiditate illo aperiam reprehenderit.
REQ000059,Tamara Suarez,AGT08693,Ad-hoc Analysis,2022-04-23,2022-04-28,Resolved,Critical,Ontario,Assumenda quas earum maxime modi cumque modi quisquam voluptatum veniam.
REQ000060,Zachary Williams,AGT03718,Report Request,2021-11-10,2021-11-25,Resolved,Medium,Ontario,Id enim magni magni quisquam officiis incidunt rerum enim quia.
REQ000061,Sherry Johnson,AGT06208,Access Issue,2024-03-12,,Escalated,High,British Columbia,
REQ000062,Justin Richardson,AGT07655,Report Request,2025-01-05,,Escalated,Critical,British Columbia,
REQ000063,Tiffany Bryant,AGT07873,Access Issue,2022-07-12,,Escalated,Medium,Quebec,
REQ000064,Bridget Howe,AGT00308,Ad-hoc Analysis,2025-09-20,,Escalated,High,Ontario,
REQ000065,Brady French,AGT03886,KPI Clarification,2023-03-20,,In Progress,Medium,British Columbia,
REQ000066,Michelle Walker,AGT09887,KPI Clarification,2023-03-15,2023-04-06,Resolved,Low,Ontario,Corrupti occaecati occaecati doloribus cumque eos.
REQ000067,Carmen Alvarez,AGT09666,Data Discrepancy,2025-07-20,2025-07-22,Resolved,Low,Manitoba,Temporibus eveniet ad enim quod perferendis maiores laudantium distinctio quis.
REQ000068,Heather Rodriguez,AGT04295,Data Discrepancy,2022-08-22,,Escalated,High,Saskatchewan,
REQ000069,Joshua Myers,AGT03999,KPI Clarification,2024-08-17,,In Progress,Critical,British Columbia,
REQ000070,Michael Mckinney,AGT01656,Report Request,2022-01-05,2022-01-13,Resolved,Low,Ontario,Libero ut earum dolorum impedit in atque.
REQ000071,Jeffrey Baker,AGT04999,Dashboard Update,2025-08-14,,In Progress,High,Saskatchewan,
REQ000072,Lisa Hampton,AGT02631,KPI Clarification,2021-04-06,,In Progress,Medium,Saskatchewan,
REQ000073,Kimberly Hayes,AGT08231,Ad-hoc Analysis,2024-10-04,,Escalated,High,Alberta,
REQ000074,Heather Holt,AGT03520,Access Issue,2024-12-08,,Escalated,Low,Alberta,
REQ000075,Sheryl Briggs,AGT07571,Ad-hoc Analysis,2021-12-25,,In Progress,Critical,Manitoba,
REQ000076,Christopher Price,AGT04214,Report Request,2021-08-20,,Escalated,Low,Saskatchewan,
REQ000077,Joseph Ward,AGT06104,KPI Clarification,2022-06-04,,Escalated,Low,Saskatchewan,
REQ000078,Erica Wright,AGT02063,KPI Clarification,2025-07-21,,Escalated,High,Quebec,
REQ000079,Jeffrey Beasley,AGT08650,Ad-hoc Analysis,2024-05-29,,Escalated,Low,British Columbia,
REQ000080,Thomas Lowe,AGT07020,Data Discrepancy,2024-01-05,,Escalated,Critical,Saskatchewan,
REQ000081,Matthew Ross,AGT08166,Data Discrepancy,2023-11-25,,Escalated,Medium,Manitoba,
REQ000082,Richard Norman,AGT05297,Report Request,2024-04-09,2024-05-03,Resolved,Critical,Alberta,Minima nihil itaque ex officia neque quo provident quae.
REQ000083,Andrea Shaw,AGT06374,Dashboard Update,2021-02-27,,Open,Critical,Saskatchewan,
REQ000084,Gary Miles,AGT01351,Access Issue,2024-10-04,,Open,Medium,Ontario,
REQ000085,Thomas Goodman,AGT02208,Dashboard Update,2025-01-27,,Open,Critical,Quebec,
REQ000086,Jacob Tanner,AGT06913,Report Request,2024-03-27,,Open,Low,Quebec,
REQ000087,Lisa Cameron,AGT03993,Data Discrepancy,2022-07-20,2022-08-15,Resolved,Medium,Ontario,Quisquam quaerat ducimus veniam accusamus.
REQ000088,Kathleen Moore DDS,AGT03661,KPI Clarification,2025-09-08,,In Progress,Critical,Ontario,
REQ000089,Tyler Beasley,AGT08099,Data Discrepancy,2023-07-16,2023-08-15,Resolved,High,British Columbia,Laudantium deleniti omnis laudantium consequuntur.
REQ000090,Kimberly Williams,AGT02820,Report Request,2021-04-12,,Escalated,Critical,Saskatchewan,
REQ000091,Michael Martinez,AGT08593,Data Discrepancy,2022-03-21,,Escalated,Medium,Ontario,
REQ000092,Charles Gentry,AGT09830,Ad-hoc Analysis,2021-06-10,2021-06-12,Resolved,High,Ontario,Neque officiis dolorem ducimus quas deserunt eum aliquam dolores.
REQ000093,Walter Woods,AGT05101,Ad-hoc Analysis,2024-04-08,,In Progress,Critical,Saskatchewan,
REQ000094,Corey Chen,AGT08393,Access Issue,2023-11-13,,Open,Critical,Manitoba,
REQ000095,Jason Torres,AGT03890,Dashboard Update,2022-07-22,,In Progress,Medium,Alberta,
REQ000096,Cassidy Smith,AGT09633,KPI Clarification,2025-12-08,,In Progress,Medium,Manitoba,
REQ000097,Scott Norris,AGT08856,Data Discrepancy,2024-06-13,,Escalated,Critical,Manitoba,
REQ000098,Edwin Wallace,AGT08846,Data Discrepancy,2023-12-01,2023-12-13,Resolved,High,Alberta,Perferendis cum quam est consectetur et impedit possimus.
REQ000099,Susan Miller,AGT05689,Data Discrepancy,2024-12-22,2025-01-15,Resolved,Critical,Manitoba,Laboriosam veniam porro tempore in.
REQ000100,Lisa White,AGT02677,Data Discrepancy,2021-01-16,,Escalated,Critical,British Columbia,
REQ000101,Steven Henderson,AGT01962,Dashboard Update,2022-03-14,,Escalated,Critical,Manitoba,
REQ000102,Matthew Navarro,AGT03553,Access Issue,2022-04-04,,Open,High,Quebec,
REQ000103,Aaron Powers,AGT09073,Data Discrepancy,2025-06-28,2025-07-26,Resolved,Medium,Ontario,Animi est commodi unde tempore ullam.
REQ000104,Jesse Cooke,AGT04200,Dashboard Update,2025-11-25,2025-12-16,Resolved,Low,Quebec,Deserunt blanditiis eaque modi dolorem possimus in expedita.
REQ000105,Maria Wheeler,AGT00794,Data Discrepancy,2024-12-29,2025-01-28,Resolved,Low,Quebec,Suscipit occaecati sed ad impedit aliquid facilis.
REQ000106,Aaron Williams,AGT09251,KPI Clarification,2024-03-07,,In Progress,Critical,British Columbia,
REQ000107,Cassandra Martinez,AGT06378,Ad-hoc Analysis,2021-12-30,,In Progress,Medium,Saskatchewan,
REQ000108,Brandon Burnett,AGT07497,Data Discrepancy,2023-01-05,,Open,Low,Quebec,
REQ000109,Melissa Stevens,AGT00470,KPI Clarification,2022-03-20,,Escalated,Low,Saskatchewan,
REQ000110,Patricia Harris,AGT00877,Access Issue,2024-12-28,,In Progress,Critical,Ontario,
REQ000111,April Byrd,AGT05137,Report Request,2022-12-23,,Open,Critical,Ontario,
REQ000112,Debra Fisher,AGT01795,Dashboard Update,2023-05-25,2023-06-04,Resolved,High,Manitoba,Magni velit soluta deserunt expedita natus nobis voluptatem excepturi doloribus distinctio.
REQ000113,Dakota Thompson,AGT09857,Data Discrepancy,2021-09-23,,Escalated,Medium,Saskatchewan,
REQ000114,Todd Ramos,AGT07843,Data Discrepancy,2025-11-20,2025-12-17,Resolved,High,Alberta,Dicta numquam numquam exercitationem perspiciatis odit animi aliquam.
REQ000115,Bryan Vasquez,AGT01113,Access Issue,2022-06-13,,Escalated,High,Ontario,
REQ000116,James Mosley,AGT02051,Ad-hoc Analysis,2022-09-10,,Escalated,Critical,Ontario,
REQ000117,Dr. Gloria Cabrera,AGT07626,Dashboard Update,2021-05-08,,Escalated,Low,Alberta,
REQ000118,Christopher Cook,AGT07076,Ad-hoc Analysis,2022-09-13,2022-10-08,Resolved,Low,Ontario,Quibusdam perspiciatis in perferendis tempora tempora reiciendis.
REQ000119,Monica Christensen,AGT03461,Dashboard Update,2021-02-12,,Escalated,High,Manitoba,
REQ000120,Jaime Adams,AGT04483,Access Issue,2024-08-11,,Escalated,High,Alberta,
REQ000121,Clarence Perry,AGT05640,Dashboard Update,2024-11-20,2024-12-02,Resolved,High,Manitoba,Fugit veniam cumque quaerat fugiat nulla est odit dicta ut.
REQ000122,Kevin Sullivan,AGT08822,Report Request,2021-11-09,2021-11-13,Resolved,Medium,Saskatchewan,Laborum accusamus inventore et omnis velit.
REQ000123,Brent Harris,AGT02962,Report Request,2024-12-04,2024-12-22,Resolved,Medium,Alberta,Ea sit eligendi suscipit ullam velit voluptatum.
REQ000124,Felicia Baker,AGT02913,Data Discrepancy,2025-05-02,,Open,Low,Manitoba,
REQ000125,Jake Kelley,AGT00683,KPI Clarification,2025-09-13,2025-10-02,Resolved,Medium,British Columbia,Ea distinctio praesentium id ducimus amet quia provident.
REQ000126,Phillip Hawkins,AGT02783,KPI Clarification,2022-07-08,,In Progress,High,Manitoba,
REQ000127,Mark Livingston,AGT02343,Report Request,2023-03-11,,Escalated,Low,British Columbia,
REQ000128,Matthew Collins,AGT07888,Ad-hoc Analysis,2021-05-08,2021-06-02,Resolved,High,Ontario,Officiis illum libero eum voluptas.
REQ000129,Rachel Todd,AGT07021,Dashboard Update,2023-05-17,,Open,High,Manitoba,
REQ000130,Robert Mitchell,AGT09308,Data Discrepancy,2023-05-14,,In Progress,Low,Quebec,
REQ000131,Robert Maynard,AGT03416,Dashboard Update,2021-11-16,,Escalated,Medium,Alberta,
REQ000132,Joseph Murphy,AGT04405,Access Issue,2023-03-05,,Open,High,British Columbia,
REQ000133,Joshua Moore,AGT03400,KPI Clarification,2024-02-01,,In Progress,High,Alberta,
REQ000134,Thomas Clarke,AGT00968,Dashboard Update,2022-11-24,,Escalated,Low,Saskatchewan,
REQ000135,Carol Ortiz,AGT09603,Ad-hoc Analysis,2023-01-28,,Escalated,Critical,Ontario,
REQ000136,Erin Roberts,AGT08149,Report Request,2021-06-20,,Open,High,Alberta,
REQ000137,Stephen Fields,AGT05612,KPI Clarification,2024-01-23,,Open,Low,Alberta,
REQ000138,Megan Caldwell,AGT09850,KPI Clarification,2024-11-08,,Escalated,High,Ontario,
REQ000139,Brandon Jennings,AGT06457,KPI Clarification,2023-04-03,2023-04-21,Resolved,Medium,British Columbia,Illo consectetur ex assumenda sapiente ipsam quisquam iusto dicta.
REQ000140,Cody Banks,AGT03340,Access Issue,2022-04-24,,Open,Low,Manitoba,
REQ000141,Rhonda Adams,AGT02822,Ad-hoc Analysis,2025-11-12,,Escalated,High,Alberta,
REQ000142,Jamie Bradford,AGT07120,Dashboard Update,2021-06-27,,Escalated,Medium,Quebec,
REQ000143,Travis Bailey,AGT01130,Access Issue,2022-09-21,,Escalated,Medium,Alberta,
REQ000144,Kirk Hernandez,AGT00375,Dashboard Update,2021-08-04,,In Progress,Low,British Columbia,
REQ000145,Chelsea Vega,AGT01760,KPI Clarification,2021-12-24,,Escalated,High,Manitoba,
REQ000146,Jake Evans,AGT04278,KPI Clarification,2021-05-30,,Escalated,Medium,Alberta,
REQ000147,Sarah Jones,AGT08335,Data Discrepancy,2022-02-18,2022-03-17,Resolved,Low,Manitoba,Ipsum soluta sunt facilis architecto delectus fugiat consectetur exercitationem.
REQ000148,Rhonda Thomas,AGT09692,Access Issue,2021-04-14,,Escalated,Medium,British Columbia,
REQ000149,Jacob Rodriguez,AGT01550,KPI Clarification,2025-01-08,,Escalated,Critical,Alberta,
REQ000150,Kelly Torres,AGT07044,Data Discrepancy,2023-06-13,2023-06-28,Resolved,High,Alberta,Amet quis ullam autem ad qui voluptate at.
REQ000151,Arthur Morris,AGT03008,KPI Clarification,2022-03-15,,In Progress,Medium,Saskatchewan,
REQ000152,Timothy Rhodes,AGT01786,Access Issue,2023-10-18,,Open,Critical,Manitoba,
REQ000153,Christian Robinson,AGT02797,Ad-hoc Analysis,2021-01-19,,In Progress,Critical,Saskatchewan,
REQ000154,Gina Sampson,AGT09186,Access Issue,2021-12-21,,Open,High,British Columbia,
REQ000155,William Anderson,AGT02671,Ad-hoc Analysis,2024-11-28,,Open,Medium,British Columbia,
REQ000156,Richard Alvarez,AGT08124,Access Issue,2025-03-15,,Open,High,Alberta,
REQ000157,Keith Sharp,AGT02483,Access Issue,2021-06-15,,Escalated,High,Alberta,
REQ000158,Carrie Harding,AGT01335,Data Discrepancy,2023-03-12,,Open,Low,Saskatchewan,
REQ000159,Christine King,AGT01048,Dashboard Update,2023-01-12,,Escalated,Medium,Saskatchewan,
REQ000160,Matthew Martin,AGT00126,Ad-hoc Analysis,2021-01-02,2021-01-05,Resolved,Medium,Saskatchewan,Consectetur quasi nam consectetur placeat occaecati nesciunt asperiores quibusdam eveniet.
REQ000161,Donald Morton,AGT04496,Access Issue,2024-10-19,,Escalated,Low,Saskatchewan,
REQ000162,Jennifer Koch,AGT08931,Dashboard Update,2025-12-15,2025-12-28,Resolved,Low,British Columbia,Dignissimos quae a quae dolores possimus minima harum temporibus.
REQ000163,Benjamin Sutton,AGT04200,Dashboard Update,2023-04-28,2023-05-20,Resolved,High,Alberta,Maxime molestiae molestiae debitis nam praesentium.
REQ000164,Karen Chung,AGT07869,Access Issue,2024-10-26,2024-10-31,Resolved,Medium,Ontario,Iure sequi ipsa illo tenetur blanditiis velit odio nobis.
REQ000165,Justin Ross,AGT05210,KPI Clarification,2021-08-17,,Escalated,Critical,Quebec,
REQ000166,Catherine Lane,AGT07947,KPI Clarification,2023-03-21,,Escalated,High,Ontario,
REQ000167,Jennifer Jordan,AGT03712,Access Issue,2021-11-24,,In Progress,Low,British Columbia,
REQ000168,Brittany Gallegos,AGT08656,KPI Clarification,2024-06-24,,In Progress,High,Alberta,
REQ000169,George Wilcox,AGT01400,Access Issue,2022-10-26,,Escalated,Low,Alberta,
REQ000170,Jerry Cooper,AGT06547,Access Issue,2022-10-31,,Open,Medium,Ontario,
REQ000171,Dustin Russell,AGT08743,KPI Clarification,2023-12-13,,Open,High,Alberta,
REQ000172,Nicole Mendez,AGT04559,Report Request,2024-08-20,2024-09-01,Resolved,Low,Manitoba,Iure eius iste non rerum quasi ab modi.
REQ000173,Robert Manning,AGT07603,KPI Clarification,2025-02-16,,In Progress,Low,Manitoba,
REQ000174,Jorge Harris,AGT00140,Report Request,2021-11-17,,In Progress,Low,Manitoba,
REQ000175,Darrell Ellison,AGT02319,Report Request,2021-04-25,,Escalated,Low,Saskatchewan,
REQ000176,Christian Morris,AGT06839,KPI Clarification,2021-12-31,,In Progress,Medium,Alberta,
REQ000177,Amanda Snyder,AGT05929,Data Discrepancy,2022-11-16,,Open,Medium,Alberta,
REQ000178,Crystal Myers,AGT09595,Data Discrepancy,2022-02-27,2022-03-20,Resolved,High,Quebec,Eius aliquam tempore officia quae asperiores accusantium facere.
REQ000179,Joyce Mcfarland,AGT01650,Report Request,2023-07-22,,In Progress,Low,British Columbia,
REQ000180,Tommy Perez,AGT03433,Ad-hoc Analysis,2023-12-15,,In Progress,Critical,Quebec,
REQ000181,Andrew Bishop,AGT01307,Data Discrepancy,2024-09-22,,In Progress,Critical,Quebec,
REQ000182,Stephanie Mendoza,AGT08527,Dashboard Update,2021-12-11,,Escalated,Critical,Alberta,
REQ000183,Jennifer Mueller,AGT00991,Dashboard Update,2021-02-12,,Escalated,High,Alberta,
REQ000184,Jacqueline Moore DVM,AGT03224,Dashboard Update,2024-07-30,,In Progress,Medium,British Columbia,
REQ000185,Dale Hunter,AGT09283,Data Discrepancy,2022-11-14,,Escalated,High,Manitoba,
REQ000186,Michelle Jefferson,AGT09011,Dashboard Update,2022-10-21,2022-11-15,Resolved,Low,Saskatchewan,Culpa culpa eveniet ratione doloremque corporis beatae molestiae sunt.
REQ000187,Jeanette Walters,AGT05009,Data Discrepancy,2025-08-03,,Escalated,Medium,British Columbia,
REQ000188,Laura Harvey,AGT03531,Ad-hoc Analysis,2021-07-31,,Open,Low,Quebec,
REQ000189,Timothy Butler,AGT04313,Ad-hoc Analysis,2024-05-20,2024-06-01,Resolved,Low,Quebec,Labore accusantium aperiam dolores fugiat architecto sunt consequuntur.
REQ000190,Suzanne Walker,AGT08881,KPI Clarification,2024-02-29,,Escalated,High,Saskatchewan,
REQ000191,Carolyn Davis,AGT02391,KPI Clarification,2024-05-23,,Escalated,Low,British Columbia,
REQ000192,Meredith Hernandez,AGT01073,Ad-hoc Analysis,2022-08-20,,Escalated,Low,Saskatchewan,
REQ000193,Thomas Cross,AGT09187,Data Discrepancy,2021-10-20,,Open,Critical,Saskatchewan,
REQ000194,Christopher Hunt,AGT05060,Dashboard Update,2022-08-26,,Escalated,Low,Ontario,
REQ000195,Brian Peterson,AGT00531,Data Discrepancy,2021-02-06,,In Progress,High,British Columbia,
REQ000196,Jeffrey Johnson,AGT04468,Access Issue,2021-08-09,,Escalated,Medium,British Columbia,
REQ000197,Mr. Frank Stephenson,AGT03814,Access Issue,2021-09-18,2021-09-27,Resolved,Critical,Ontario,Iste quam maiores adipisci totam impedit reprehenderit consectetur saepe esse.
REQ000198,Lindsey Manning,AGT06672,KPI Clarification,2025-03-26,,In Progress,Critical,Manitoba,
REQ000199,Stephanie Lozano,AGT04249,KPI Clarification,2023-09-13,,Open,Low,Saskatchewan,
REQ000200,Scott Farmer,AGT08754,Data Discrepancy,2023-10-29,,Open,Medium,Ontario,
REQ000201,Linda Davis,AGT01766,Data Discrepancy,2021-06-01,,Open,Medium,British Columbia,
REQ000202,Brandy Stokes PhD,AGT05981,Data Discrepancy,2023-12-27,,In Progress,Critical,Quebec,
REQ000203,Michael Collins,AGT08796,Access Issue,2024-04-29,,Escalated,Medium,Alberta,
REQ000204,John Smith,AGT05286,Dashboard Update,2025-08-11,2025-08-20,Resolved,Critical,Alberta,Facere itaque quia modi temporibus aliquam dolorem.
REQ000205,Stacy Ayers,AGT03899,Report Request,2021-06-23,,Open,Medium,Quebec,
REQ000206,Sabrina Savage,AGT06081,Ad-hoc Analysis,2021-09-30,,In Progress,Medium,Quebec,
REQ000207,Nicholas English,AGT00092,Report Request,2022-09-16,2022-09-21,Resolved,Low,British Columbia,Deserunt incidunt in fuga molestias enim et.
REQ000208,Heather Taylor,AGT09551,Access Issue,2021-12-16,,Open,High,Alberta,
REQ000209,Alexis Schroeder,AGT06456,Access Issue,2023-12-21,,In Progress,Critical,Ontario,
REQ000210,Jeffrey Richardson,AGT04101,KPI Clarification,2022-08-28,,Open,Critical,Quebec,
REQ000211,Mr. Joshua Williams,AGT04484,KPI Clarification,2022-03-25,,Escalated,Medium,Alberta,
REQ000212,Todd Choi,AGT08876,Dashboard Update,2025-05-31,2025-06-23,Resolved,Critical,British Columbia,Minus explicabo distinctio esse perspiciatis.
REQ000213,Samantha Hernandez,AGT04694,Ad-hoc Analysis,2021-04-17,2021-05-05,Resolved,Low,Manitoba,Autem distinctio asperiores harum recusandae ipsum adipisci ipsum velit.
REQ000214,Jose Guzman,AGT00716,Data Discrepancy,2025-03-21,,Open,Medium,Quebec,
REQ000215,Mrs. Jordan Cole,AGT02389,Ad-hoc Analysis,2023-01-02,2023-01-08,Resolved,High,Alberta,Quo aperiam esse quidem iste explicabo saepe maxime animi.
REQ000216,Paul Neal,AGT09890,Ad-hoc Analysis,2021-03-30,,Escalated,Low,Ontario,
REQ000217,Mitchell Jones,AGT05151,Dashboard Update,2023-07-21,,Open,Medium,Alberta,
REQ000218,Robert Olson,AGT01477,Data Discrepancy,2022-11-05,2022-12-01,Resolved,High,Alberta,Itaque nam nobis vel deleniti est dolorem ratione distinctio.
REQ000219,Jacob Coffey,AGT04707,Report Request,2025-06-13,2025-06-24,Resolved,Low,British Columbia,Eaque est maxime perferendis natus unde expedita enim.
REQ000220,Mr. Daniel Bradley,AGT01407,Access Issue,2021-07-30,,In Progress,Low,Ontario,
REQ000221,Carol Smith,AGT05013,Ad-hoc Analysis,2024-07-05,,In Progress,Medium,Saskatchewan,
REQ000222,Mary Wallace MD,AGT03178,Access Issue,2021-06-20,,In Progress,Critical,Saskatchewan,
REQ000223,Bradley Rogers,AGT08181,Data Discrepancy,2021-02-13,,Escalated,High,Ontario,
REQ000224,Edwin King,AGT04406,Ad-hoc Analysis,2024-09-03,2024-09-08,Resolved,Critical,Saskatchewan,Rerum doloremque debitis asperiores cum dolorum expedita quo quas.
REQ000225,Kimberly Fleming,AGT09976,Access Issue,2023-08-05,2023-08-06,Resolved,High,British Columbia,Aliquid iure earum commodi doloribus quae nesciunt blanditiis quaerat enim vitae.
REQ000226,Thomas Walker,AGT06779,KPI Clarification,2021-09-06,2021-10-02,Resolved,Medium,Manitoba,Doloribus eos dolore rerum exercitationem modi.
REQ000227,Leah Faulkner,AGT09813,Ad-hoc Analysis,2021-06-05,,In Progress,Medium,Ontario,
REQ000228,David Black,AGT00607,Ad-hoc Analysis,2021-03-08,,Escalated,High,Alberta,
REQ000229,Keith Lewis,AGT08390,KPI Clarification,2024-03-21,,Open,Medium,Quebec,
REQ000230,Erica Taylor,AGT09079,Data Discrepancy,2021-06-13,,In Progress,Low,Quebec,
REQ000231,Richard Smith,AGT03629,Ad-hoc Analysis,2021-05-22,,In Progress,Critical,British Columbia,
